Contestant,M?,F?,Season,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided,Day found,Day played,Notes
Jerri Manthey,,,S20,0,1,0,0,,,,,Parv gave her the idol at the merge TC - Parv gets credit for play/votes voided; would have been a tie; no vote split
Sandra Diaz-Twine,,,S20,1,2,1,0,,,,,"(Parv gave her an idol at the merge TC, played it; found & played second idol - 2 votes voided)"
Danielle DiLorenzo,,,S20,0,0,0,0,,,,,"Co-found Parvati #2 idol with Parv, Parv kept it. Also obtained clue and searched alongside Russell for Russell #3 idol; Russell found & kept it."
Marty Piombo,1,,S21,1,1,0,0,,,6,,Found with Jill; Marty kept it. (Marty later gave his idol to Sash.)
Sash Lenahan,,,S21,0,1,1,1,,,,36,(Marty gave his idol to Sash; Sash played it at the last Tribal possible)
NaOnka Mixon,,1,S21,1,1,0,0,,,9,,Found with Brenda; NaOnka kept it. (NaOnka later gave her idol to Chase before quitting)
Chase Rice,,,S21,0,1,1,0,,,,36,"(From NaOnka, played at the last Tribal possible.)"
Kristina Kell,,1,S22,1,1,1,2,,,1,5,
Ralph Kiser,1,,S22,1,1,1,0,,,4,21,"Played his idol for Mike Chiesl, Ep8… but the votes were against Matt instead"
Rob Mariano,1,,S22,1,1,1,1,,,10,37,
Ozzy Lusth,1,,S23,1,1,1,0,,,4,21,"Played his idol for Whitney at the merge vote, zero votes voided"
Coach Wade,1,,S23,1,1,0,0,,,12,,Never played
Whitney Duncan,,,S23,0,0,0,0,,,,,(Ozzy played his idol for her)
Sabrina Thompson,,1,S24,1,0,0,0,,,2,,"Forced to give it to someone on the other tribe, gave it to Colton"
Colton Cumbie,,,S24,0,1,0,0,,,,,(received the idol from Sabrina in Ep1; left the game with the idol in his pocket)
Kim Spradlin,,1,S24,1,1,0,0,,,14,,Never played
Troyzan Robertson,1,,S24,1,1,1,2,,,19,25,"Played in Ep9, voided two votes"
Jonathan Penner,1,,S25,1,1,1,5,1,,4,19,"Vote split, 5 on Penner, four on RC, Penner & RC vote Pete. Penner saved, RC out."
Abi-Maria Gomes,,1,S25,1,1,1,3,,1,8,27,"Found (sort of with Pete), Ep3. Play: Vote split, 3 on Abi, 3 on Pete, Abi & Pete vote Malcolm. Abi saved, Pete out."
Malcolm Freberg,1,,S25,1,1,0,0,,,11,,Found right as Malcolm & Denise are packing up to leave Matsing. Never played
Denise Stapley,,,S25,0,0,0,0,,,,,"(Co-found with Malcolm, he kept it)"
Reynold Toepfer,1,,S26,2,2,1,1,,,4,10,"Found Gota idol (Day 4). Played for himself (Day 10), voiding 1 vote."
Malcolm Freberg,1,,S26,2,3,3,2,,,6,28,"Malcolm found the idol with Corinne, kept it (Day 6); played for himself Day 28, voids two votes against"
Eddie Fox,,,S26,0,1,0,0,0,1,,,"Vote split, 4 on Eddie, 2 on Malcolm, but both play idols, booting Phillip instead - Malcolm gets credit for plays, votes voided."
Erik Reichenbach,1,,S26,1,0,0,0,,,31,,(immediately gave it to Andrea)
Andrea Boehlke,,,S26,0,1,0,0,,,,,"Erik found the idol using Andrea's clue, gave it to her immediately; Andrea voted out while holding it"
Tyson Apostol,1,,S27,2,2,2,0,,,19,29,Found during the post-merge feast chatting; played for himself at the Caleb boot
Gervase Peterson,,,S27,0,1,0,0,,,,,
Garrett Adelstein,1,,S28,1,1,0,0,,,1,,"Voted out, did not bring idol to Tribal (Day 6)"
