contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Brandon Bellinger,22,Manhattan,KS,Guatemala,10,8,0,8,21,6,https://vignette.wikia.nocookie.net/survivor/images/b/b4/S11_brandon_t.png/revision/latest?cb=20180527141753,Male,Farmer,https://vignette.wikia.nocookie.net/survivor/images/a/af/S11_Brandon_Bellinger.jpg/revision/latest?cb=20120616041259,11
Bobby Jon Drinkard,28,Los Angeles,CA,Guatemala,9,8,0,8,24,8,https://vignette.wikia.nocookie.net/survivor/images/8/85/S11_bobbyjon_t.png/revision/latest?cb=20180527141752,Male,Waiter,https://vignette.wikia.nocookie.net/survivor/images/1/10/S11_Bobby_Jon_Drinkard.jpg/revision/latest?cb=20120616041317,11
Jamie Newton,24,North Hollywood,CA,Guatemala,8,4,1,5,27,10,https://vignette.wikia.nocookie.net/survivor/images/4/42/S11_jamie_t.png/revision/latest?cb=20180527141757,Male,Water Skiing Instructor,https://vignette.wikia.nocookie.net/survivor/images/8/8f/S11_Jamie_Newton.jpg/revision/latest?cb=20120616041332,11
Gary Hogeboom,46,Grand Haven,MI,Guatemala,7,4,2,6,30,8,https://vignette.wikia.nocookie.net/survivor/images/d/d8/S11_gary_t.png/revision/latest?cb=20180527141756,Male,Ex-NFL Quarterback,https://vignette.wikia.nocookie.net/survivor/images/1/18/S11_Gary_Hogeboom.jpg/revision/latest?cb=20120616041352,11
Judd Sergeant,34,Ridgefield,NJ,Guatemala,6,8,2,10,33,5,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S11_judd_t.png/revision/latest?cb=20180527141758,Male,Hotel Doorman,https://vignette.wikia.nocookie.net/survivor/images/4/44/S11_Judd_Sergeant.jpg/revision/latest?cb=20120616041403,11
Cindy Hall,31,Naples,FL,Guatemala,5,8,2,10,36,6,https://vignette.wikia.nocookie.net/survivor/images/d/df/S11_cindy_t.png/revision/latest?cb=20180527141755,Female,Zookeeper,https://vignette.wikia.nocookie.net/survivor/images/6/66/S11_Cindy_Hall.jpg/revision/latest?cb=20120616041635,11
Lydia Morales,42,Lakewood,WA,Guatemala,4,4,0,4,37,10,https://vignette.wikia.nocookie.net/survivor/images/1/16/S11_lydia_t.png/revision/latest?cb=20180527141759,Female,Fishmonger,https://vignette.wikia.nocookie.net/survivor/images/c/c6/S11_Lydia_Morales.jpg/revision/latest?cb=20120616041646,11
Rafe Judkins,22,Providence,RI,Guatemala,3rd,4,4,8,38,2,https://vignette.wikia.nocookie.net/survivor/images/b/bf/S11_rafe_t.png/revision/latest?cb=20180527141800,Male,Wilderness Guide,https://vignette.wikia.nocookie.net/survivor/images/9/9e/S11_Rafe_Judkins.jpg/revision/latest?cb=20120616041700,11
Stephenie LaGrossa,25,Tom's River,NJ,Guatemala,2,4,2,6,39,2,https://vignette.wikia.nocookie.net/survivor/images/5/5e/S11_stephenie_t.png/revision/latest?cb=20180527141801,Female,Pharmaceutical Sales Respresentative,https://vignette.wikia.nocookie.net/survivor/images/e/e1/S20_Stephenie_LaGrossa.jpg/revision/latest?cb=20120617040515,11
Danni Boatwright,30,Tonganozie,KS,Guatemala,1,8,3,11,39,1,https://vignette.wikia.nocookie.net/survivor/images/3/3c/S11_danni_t.png/revision/latest?cb=20180527141755,Female,Sports Radio Host,https://vignette.wikia.nocookie.net/survivor/images/3/36/S11_Danni_Boatwright.jpg/revision/latest?cb=20120616041742,11
Tina Scheer,44,Hayward,WI,Panama,16,1,NA,1,3,3,https://vignette.wikia.nocookie.net/survivor/images/7/7c/S12_tina_t.png/revision/latest?cb=20180527155252,Female,Lumberjill,https://vignette.wikia.nocookie.net/survivor/images/e/e0/S12_Tina_Scheer.jpg/revision/latest?cb=20120616042015,12
Melinda Hyder,32,Sevierville,TN,Panama,15,1,NA,1,6,5,https://vignette.wikia.nocookie.net/survivor/images/a/aa/S12_melinda_t.png/revision/latest?cb=20180527155248,Female,Singer/Entertainer,https://vignette.wikia.nocookie.net/survivor/images/c/cc/S12_Melinda_Hyder.jpg/revision/latest?cb=20120616042031,12
Misty Giles,24,Dallas,TX,Panama,14,4,NA,4,8,5,https://vignette.wikia.nocookie.net/survivor/images/b/b8/S12_misty_t.png/revision/latest?cb=20180527155248,Female,Missile Engineer,https://vignette.wikia.nocookie.net/survivor/images/c/ce/S12_Misty_Giles.jpg/revision/latest?cb=20120616042045,12
Ruth-Marie Milliman,48,Greenville,SC,Panama,13,4,NA,4,11,6,https://vignette.wikia.nocookie.net/survivor/images/7/7c/S12_ruthmarie_t.png/revision/latest?cb=20180527155249,Female,Real Estate,https://vignette.wikia.nocookie.net/survivor/images/8/85/S12_Ruth-Marie_Milliman.jpg/revision/latest?cb=20120616042054,12
Bobby Mason,32,Los Angeles,CA,Panama,12,6,NA,6,14,3,https://vignette.wikia.nocookie.net/survivor/images/7/76/S12_bobby_t.png/revision/latest?cb=20180527155244,Male,Attorney,https://vignette.wikia.nocookie.net/survivor/images/d/de/S12_Bobby_Mason.jpg/revision/latest?cb=20120616042253,12
Dan Barry,51,South Hadley,MA,Panama,11,6,NA,6,15,3,https://vignette.wikia.nocookie.net/survivor/images/7/7e/S12_dan_t.png/revision/latest?cb=20180527155247,Male,Astronaut,https://vignette.wikia.nocookie.net/survivor/images/e/e3/S12_Dan_Barry.jpg/revision/latest?cb=20120616042256,12
Nick Stanbury,25,Tempe,AZ,Panama,10,6,0,6,18,6,https://vignette.wikia.nocookie.net/survivor/images/2/27/S12_nick_t.png/revision/latest?cb=20180527155249,Male,Financial Sales,https://vignette.wikia.nocookie.net/survivor/images/f/f6/S12_Nick_Stanbury.jpg/revision/latest?cb=20120616042305,12
Austin Carty,24,High Point,NC,Panama,9,6,0,6,21,7,https://vignette.wikia.nocookie.net/survivor/images/f/f9/S12_austin_t.png/revision/latest?cb=20180527155244,Male,Writer,https://vignette.wikia.nocookie.net/survivor/images/f/ff/S12_Austin_Carty.jpg/revision/latest?cb=20120616042312,12
Sally Schumann,27,Chicago,IL,Panama,8,5,2,7,24,8,https://vignette.wikia.nocookie.net/survivor/images/4/46/S12_sally_t.png/revision/latest?cb=20180527155250,Female,Social Worker,https://vignette.wikia.nocookie.net/survivor/images/a/a7/S12_Sally_Schumann.jpg/revision/latest?cb=20120616042534,12
Bruce Kanegai,57,Simi Valley,CA,Panama,7,7,2,9,25,2,https://vignette.wikia.nocookie.net/survivor/images/e/ec/S12_bruce_t.png/revision/latest?cb=20180527155245,Male,Art Teacher,https://vignette.wikia.nocookie.net/survivor/images/b/b8/S12_Bruce_Kanegai.jpg/revision/latest?cb=20120616042548,12
Courtney Marit,31,Los Angeles,CA,Panama,6,6,2,8,30,4,https://vignette.wikia.nocookie.net/survivor/images/3/30/S12_courtney_t.png/revision/latest?cb=20180527155246,Female,Fire Dancer,https://vignette.wikia.nocookie.net/survivor/images/2/25/S12_Courtney_Marit.jpg/revision/latest?cb=20120616042603,12
Shane Powers,34,Los Angeles,CA,Panama,5,7,0,7,33,9,https://vignette.wikia.nocookie.net/survivor/images/c/cf/S12_shane_t.png/revision/latest?cb=20180527155250,Male,Marketing Executive,https://vignette.wikia.nocookie.net/survivor/images/e/e1/S12_Shane_Powers.jpg/revision/latest?cb=20120616042619,12
Cirie Fields,35,Walterboro,SC,Panama,4,6,1,7,36,3,https://vignette.wikia.nocookie.net/survivor/images/9/95/S12_cirie_t.png/revision/latest?cb=20180527155246,Female,Nurse,https://vignette.wikia.nocookie.net/survivor/images/0/00/S34_Cirie_Cast_Photo1.jpg/revision/latest?cb=20170209012632,12
Terry Deitz,46,Simsbury,CT,Panama,3rd,6,9,15,38,1,https://vignette.wikia.nocookie.net/survivor/images/f/f6/S12_terry_t.png/revision/latest?cb=20180527155251,Male,Pilot,https://vignette.wikia.nocookie.net/survivor/images/c/c6/S31_Terry_Deitz.jpg/revision/latest?cb=20150825194917,12
Danielle DiLorenzo,24,Pompano Beach,FL,Panama,2,6,2,8,39,4,https://vignette.wikia.nocookie.net/survivor/images/6/62/S12_danielle_t.png/revision/latest?cb=20180527155247,Female,Medical Sales Rep.,https://vignette.wikia.nocookie.net/survivor/images/0/0a/S20_Danielle_DiLorenzo.jpg/revision/latest?cb=20120617041306,12
Aras Baskauskas,24,Santa Monica,CA,Panama,1,7,3,10,39,9,https://vignette.wikia.nocookie.net/survivor/images/5/5d/S12_aras_t.png/revision/latest?cb=20180527155243,Male,"Yoga Instructor;
Musician",https://vignette.wikia.nocookie.net/survivor/images/d/dc/S27_Aras_Baskauskas.jpg/revision/latest?cb=20130821172320,12
Sekou Bunch,45,Los Angeles,CA,Cook Islands,20,0,NA,0,3,3,https://vignette.wikia.nocookie.net/survivor/images/2/26/S13_sekou_t.png/revision/latest?cb=20180527170958,Male,Jazz Musician,https://vignette.wikia.nocookie.net/survivor/images/e/e1/S13_Sekou_Bunch.jpg/revision/latest?cb=20120616043735,13
Billy Garcia,36,New York City,NY,Cook Islands,19,1,NA,1,6,4,https://vignette.wikia.nocookie.net/survivor/images/e/eb/S13_billy_t.png/revision/latest?cb=20180527170950,Male,Heavy Metal Musician,https://vignette.wikia.nocookie.net/survivor/images/0/0c/S13_Billy_Garcia.jpg/revision/latest?cb=20120616043751,13
Cecilia Mansilla,29,Oakland,CA,Cook Islands,18,1,NA,1,8,5,https://vignette.wikia.nocookie.net/survivor/images/8/87/S13_cecilia_t.png/revision/latest?cb=20180527170952,Female,Risk Consultant,https://vignette.wikia.nocookie.net/survivor/images/3/39/S13_Cecilia_Mansilla.jpg/revision/latest?cb=20120616043803,13
J.P. Calderon,30,Long Beach,CA,Cook Islands,17,2,NA,2,11,7,https://vignette.wikia.nocookie.net/survivor/images/e/ec/S13_jp_t.png/revision/latest?cb=20180527170955,Male,Volleyball Pro,https://vignette.wikia.nocookie.net/survivor/images/9/95/S13_J.P._Calderon.jpg/revision/latest?cb=20120616043812,13
Stephannie Favor,35,Columbia,SC,Cook Islands,16,3,NA,3,14,9,https://vignette.wikia.nocookie.net/survivor/images/9/97/S13_stephannie_t.png/revision/latest?cb=20180527170959,Female,Nursing Student,https://vignette.wikia.nocookie.net/survivor/images/e/e9/S13_Stephannie_Favor.jpg/revision/latest?cb=20120616043821,13
Cao Boi Bui,42,Christiansburg,VA,Cook Islands,15,6,NA,6,15,6,https://vignette.wikia.nocookie.net/survivor/images/e/e1/S13_caoboi_t.png/revision/latest?cb=20180527170952,Male,Nail Salon Manager,https://vignette.wikia.nocookie.net/survivor/images/e/ee/S13_Cao_Boi_Bui.jpg/revision/latest?cb=20120616044010,13
Cristina Coria,35,Los Angeles,CA,Cook Islands,14,3,NA,3,15,5,https://vignette.wikia.nocookie.net/survivor/images/a/a5/S13_cristina_t.png/revision/latest?cb=20180527170953,Female,Police Officer,https://vignette.wikia.nocookie.net/survivor/images/4/47/S13_Cristina_Coria.jpg/revision/latest?cb=20120616044019,13
Jessica Smith,27,Chico,CA,Cook Islands,13,7,NA,7,18,6,https://vignette.wikia.nocookie.net/survivor/images/3/35/S13_jessica_t.png/revision/latest?cb=20180527170954,Female,Roller Girl,https://vignette.wikia.nocookie.net/survivor/images/c/c0/S13_Jessica_Smith.jpg/revision/latest?cb=20120616044037,13
Brad Virata,29,Santa Monica,CA,Cook Islands,12,5,NA,5,21,7,https://vignette.wikia.nocookie.net/survivor/images/a/a9/S13_brad_t.png/revision/latest?cb=20180527170951,Male,Fashion Director,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S13_Brad_Virata.jpg/revision/latest?cb=20120616044047,13
Rebecca Borman,34,Laurelton,NY,Cook Islands,11,4,NA,4,24,6,https://vignette.wikia.nocookie.net/survivor/images/c/cc/S13_rebecca_t.png/revision/latest?cb=20180527170957,Female,Make-Up Artist,https://vignette.wikia.nocookie.net/survivor/images/5/5f/S13_Rebecca_Borman.jpg/revision/latest?cb=20120616044056,13
Jenny Guzon-Bae,36,Lake Forest,IL,Cook Islands,10,5,NA,5,24,6,https://vignette.wikia.nocookie.net/survivor/images/d/d1/S13_jenny_t.png/revision/latest?cb=20180527170953,Female,Real Estate Agent,https://vignette.wikia.nocookie.net/survivor/images/6/60/S13_Jenny_Guzon-Bae.jpg/revision/latest?cb=20120616044358,13
Nate Gonzalez,26,Play del Rey,CA,Cook Islands,9,4,0,4,27,5,https://vignette.wikia.nocookie.net/survivor/images/0/0f/S13_nate_t.png/revision/latest?cb=20180527170956,Male,Shoe Salesman,https://vignette.wikia.nocookie.net/survivor/images/c/ca/S13_Nate_Gonzalez.jpg/revision/latest?cb=20120616044408,13
Candice Woodcock,23,Washington,D.C.,Cook Islands,8,7,0,7,30,6,https://vignette.wikia.nocookie.net/survivor/images/2/24/S13_candice_t.png/revision/latest?cb=20180527170951,Female,"Pre-Med Student;
Physician/Anesthesiology Resident",https://vignette.wikia.nocookie.net/survivor/images/4/43/S27_Candice_Cody.jpg/revision/latest?cb=20130821172901,13
Jonathan Penner,44,Los Angeles,CA,Cook Islands,7,7,0,7,33,15,https://vignette.wikia.nocookie.net/survivor/images/e/e2/S13_jonathan_t.png/revision/latest?cb=20180527170955,Male,Writer,https://vignette.wikia.nocookie.net/survivor/images/7/76/S25_Jonathan_Penner.jpg/revision/latest?cb=20120822163534,13
Parvati Shallow,23,West Hollywood,CA,Cook Islands,6,5,2,7,36,4,https://vignette.wikia.nocookie.net/survivor/images/9/9c/S13_parvati_t.png/revision/latest?cb=20180527170957,Female,"Boxer;
Charity Organizer",https://vignette.wikia.nocookie.net/survivor/images/2/27/S20_Parvati_Shallow.jpg/revision/latest?cb=20120617041613,13
Adam Gentry,28,San Diego,CA,Cook Islands,5,5,1,6,37,5,https://vignette.wikia.nocookie.net/survivor/images/e/e2/S13_adam_t.png/revision/latest?cb=20180527170949,Male,Copier Sales,https://vignette.wikia.nocookie.net/survivor/images/a/a8/S13_Adam_Gentry.jpg/revision/latest?cb=20120616044858,13
Sundra Oakley,31,Los Angeles,CA,Cook Islands,4,10,0,10,38,6,https://vignette.wikia.nocookie.net/survivor/images/b/bd/S13_sundra_t.png/revision/latest?cb=20180527170959,Female,Actress,https://vignette.wikia.nocookie.net/survivor/images/7/7f/S13_Sundra_Oakley.jpg/revision/latest?cb=20120616044907,13
Becky Lee,28,Washington,D.C.,Cook Islands,3,11,0,11,39,5,https://vignette.wikia.nocookie.net/survivor/images/9/96/S13_becky_t.png/revision/latest?cb=20180527170950,Female,Attorney,https://vignette.wikia.nocookie.net/survivor/images/2/22/S13_Becky_Lee.jpg/revision/latest?cb=20120616044921,13
Ozzy Lusth,25,Venice,CA,Cook Islands,2,10,6,16,39,1,https://vignette.wikia.nocookie.net/survivor/images/2/22/S13_ozzy_t.png/revision/latest?cb=20180527170956,Male,"Waiter;
Photographer",https://vignette.wikia.nocookie.net/survivor/images/e/eb/S34_Ozzy_Cast_Photo1.jpg/revision/latest?cb=20170209005619,13
Yul Kwon,31,San Mateo,CA,Cook Islands,1,11,1,12,39,5,https://vignette.wikia.nocookie.net/survivor/images/2/2e/S13_yul_t.png/revision/latest?cb=20180527171000,Male,Management Consultant,https://vignette.wikia.nocookie.net/survivor/images/2/27/S13_Yul_Kwon.jpg/revision/latest?cb=20120616044956,13
Jessica deBen,27,Los Angeles,CA,Fiji,19,0,NA,0,3,6,https://vignette.wikia.nocookie.net/survivor/images/3/3a/S14_jessica_t.png/revision/latest?cb=20180527183110,Female,Fashion Stylist,https://vignette.wikia.nocookie.net/survivor/images/8/85/S14_Jessica_deBen.jpg/revision/latest?cb=20120616045500,14
Erica Durousseau,27,Baton Rouge,LA,Fiji,18,0,NA,0,6,6,https://vignette.wikia.nocookie.net/survivor/images/8/86/S14_erica_t.png/revision/latest?cb=20180527182614,Female,Non-Profit Fundraiser,https://vignette.wikia.nocookie.net/survivor/images/0/0f/S14_Erica_Durousseau.jpg/revision/latest?cb=20120616045503,14
Sylvia Kwan,52,Ross,CA,Fiji,17,0,NA,0,8,6,https://vignette.wikia.nocookie.net/survivor/images/d/d8/S14_sylvia_t.png/revision/latest?cb=20180527182620,Female,Architect,https://vignette.wikia.nocookie.net/survivor/images/d/de/S14_Sylvia_Kwan.jpg/revision/latest?cb=20120616045507,14
Gary Stritesky,55,Ramsey,MN,Fiji,16,5,NA,5,10,NA,https://vignette.wikia.nocookie.net/survivor/images/d/dd/S14_gary_t.png/revision/latest?cb=20180527182614,Male,School Bus Driver,https://vignette.wikia.nocookie.net/survivor/images/f/f0/S14_Gary_Stritesky.jpg/revision/latest?cb=20120616045516,14
Liliana Gomez,25,Los Angeles,CA,Fiji,15,6,NA,6,11,6,https://vignette.wikia.nocookie.net/survivor/images/0/0f/S14_liliana_t.png/revision/latest?cb=20180527182615,Female,Loan Officer,https://vignette.wikia.nocookie.net/survivor/images/1/14/S14_Liliana_Gomez.jpg/revision/latest?cb=20120616045526,14
Rita Verreos,38,San Antonio,TX,Fiji,14,0,NA,0,14,6,https://vignette.wikia.nocookie.net/survivor/images/5/5f/S14_rita_t.png/revision/latest?cb=20180527182618,Female,Single Mom,https://vignette.wikia.nocookie.net/survivor/images/9/93/S14_Rita_Verreos.jpg/revision/latest?cb=20120616045748,14
Anthony Robinson,32,Compton,CA,Fiji,13,0,NA,0,16,10,https://vignette.wikia.nocookie.net/survivor/images/d/d4/S14_anthony_t.png/revision/latest?cb=20180527182611,Male,Expert Witness Locator,https://vignette.wikia.nocookie.net/survivor/images/c/cd/S14_Anthony_Robinson.jpg/revision/latest?cb=20120616045802,14
Rocky Reid,28,Los Angeles,CA,Fiji,12,1,NA,1,19,5,https://vignette.wikia.nocookie.net/survivor/images/b/b4/S14_rocky_t.png/revision/latest?cb=20180527182619,Male,Bartender,https://vignette.wikia.nocookie.net/survivor/images/e/ef/S14_Rocky_Reid.jpg/revision/latest?cb=20120616045812,14
Lisi Linares,36,Los Angeles,CA,Fiji,11,9,NA,9,21,7,https://vignette.wikia.nocookie.net/survivor/images/6/62/S14_lisi_t.png/revision/latest?cb=20180527182616,Female,Customer Service Rep.,https://vignette.wikia.nocookie.net/survivor/images/4/41/S14_Lisi_Linares.jpg/revision/latest?cb=20120616045831,14
Michelle Yi,23,Cincinnati,OH,Fiji,10,4,0,4,24,3,https://vignette.wikia.nocookie.net/survivor/images/a/a4/S14_michelle_t.png/revision/latest?cb=20180527182617,Female,Student,https://vignette.wikia.nocookie.net/survivor/images/c/c3/S14_Michelle_Yi.jpg/revision/latest?cb=20120616045846,14
Edgardo Rivera,28,Miami Beach,FL,Fiji,9,9,1,10,27,5,https://vignette.wikia.nocookie.net/survivor/images/b/b0/S14_edgardo_t.png/revision/latest?cb=20180527182613,Male,Ad Executive,https://vignette.wikia.nocookie.net/survivor/images/4/4d/S14_Edgardo_Rivera.jpg/revision/latest?cb=20120616050037,14
Mookie Lee,25,Chicago,IL,Fiji,8,1,0,1,30,6,https://vignette.wikia.nocookie.net/survivor/images/3/3b/S14_mookie_t.png/revision/latest?cb=20180527182618,Male,Business Consultant,https://vignette.wikia.nocookie.net/survivor/images/c/cc/S14_Mookie_Lee.jpg/revision/latest?cb=20120616050046,14
Alex Angarita,28,Los Angeles,CA,Fiji,7,9,1,10,33,9,https://vignette.wikia.nocookie.net/survivor/images/8/83/S14_alex_t.png/revision/latest?cb=20180527182610,Male,Attorney,https://vignette.wikia.nocookie.net/survivor/images/6/64/S14_Alex_Angarita.jpg/revision/latest?cb=20120616050103,14
Stacy Kimball,27,Boulder,CO,Fiji,6,12,3,15,36,4,https://vignette.wikia.nocookie.net/survivor/images/d/d7/S14_stacy_t.png/revision/latest?cb=20180527182619,Female,Web Producer,https://vignette.wikia.nocookie.net/survivor/images/e/e7/S14_Stacy_Kimball.jpg/revision/latest?cb=20120616050112,14
Boo Bernis,34,Lafayette,LA,Fiji,5,12,5,17,37,5,https://vignette.wikia.nocookie.net/survivor/images/0/06/S14_boo_t.png/revision/latest?cb=20180527182611,Male,Construction Worker,https://vignette.wikia.nocookie.net/survivor/images/0/0a/S14_Boo_Bernis.jpg/revision/latest?cb=20120616050127,14
Yau-Man Chan,54,Martinez,CA,Fiji,4,4,5,9,38,9,https://vignette.wikia.nocookie.net/survivor/images/3/31/S14_yauman_t.png/revision/latest?cb=20180527182620,Male,Computer Engineer,https://vignette.wikia.nocookie.net/survivor/images/c/c6/S16_Yau-Man_Chan.jpg/revision/latest?cb=20120616070534,14
Cassandra Franklin,42,Los Angeles,CA,Fiji,2,12,2,14,39,5,https://vignette.wikia.nocookie.net/survivor/images/d/dd/S14_cassandra_t.png/revision/latest?cb=20180527182612,Female,College Administrator,https://vignette.wikia.nocookie.net/survivor/images/8/88/S14_Cassandra_Franklin.jpg/revision/latest?cb=20120616050345,14
Dreamz Herd,25,Wilmington,NC,Fiji,2,9,3,12,39,2,https://vignette.wikia.nocookie.net/survivor/images/5/5b/S14_dreamz_t.png/revision/latest?cb=20180527182612,Male,Cheerleading Coach,https://vignette.wikia.nocookie.net/survivor/images/5/50/S14_Dreamz_Herd.jpg/revision/latest?cb=20120616050335,14
Earl Cole,35,Santa Monica,CA,Fiji,1,4,2,6,39,1,https://vignette.wikia.nocookie.net/survivor/images/0/0b/S14_earl_t.png/revision/latest?cb=20180527182613,Male,Ad Executive,https://vignette.wikia.nocookie.net/survivor/images/f/f7/S14_Earl_Cole.jpg/revision/latest?cb=20120616050357,14
Chicken Morris,47,Marion,VA,China,16,0,NA,0,3,5,https://vignette.wikia.nocookie.net/survivor/images/5/59/S15_chicken_t.png/revision/latest?cb=20180527225217,Male,Chicken Farmer,https://vignette.wikia.nocookie.net/survivor/images/9/9c/S15_Chicken_Morris.jpg/revision/latest?cb=20120616051109,15
Ashley Massaro,28,East Northport,NY,China,15,0,NA,0,6,8,https://vignette.wikia.nocookie.net/survivor/images/b/b3/S15_ashley_t.png/revision/latest?cb=20180527225216,Female,Professional Wrestler,https://vignette.wikia.nocookie.net/survivor/images/5/52/S15_Ashley_Massaro.jpg/revision/latest?cb=20120616051125,15
Leslie Nease,38,Tega Cay,SC,China,14,3,NA,3,9,6,https://vignette.wikia.nocookie.net/survivor/images/1/14/S15_leslie_t.png/revision/latest?cb=20180527225222,Female,Christian Radio Host,https://vignette.wikia.nocookie.net/survivor/images/b/bd/S15_Leslie_Nease.jpg/revision/latest?cb=20120616051134,15
Dave Cruser,37,Simi Valley,CA,China,13,2,NA,2,12,6,https://vignette.wikia.nocookie.net/survivor/images/f/f8/S15_dave_t.png/revision/latest?cb=20180527225218,Male,Former Model,https://vignette.wikia.nocookie.net/survivor/images/9/9c/S15_Dave_Cruser.jpg/revision/latest?cb=20120616051148,15
Aaron Reisberger,32,Venice,CA,China,12,5,NA,5,15,3,https://vignette.wikia.nocookie.net/survivor/images/e/e6/S15_aaron_t.png/revision/latest?cb=20180527225215,Male,Surfing Instructor,https://vignette.wikia.nocookie.net/survivor/images/6/68/S15_Aaron_Reisberger.jpg/revision/latest?cb=20120616051318,15
Sherea Lloyd,26,Atlanta,GA,China,11,4,NA,4,18,6,https://vignette.wikia.nocookie.net/survivor/images/d/d2/S15_sherea_t.png/revision/latest?cb=20180527225223,Female,Elementary Teacher,https://vignette.wikia.nocookie.net/survivor/images/f/f4/S15_Sherea_Lloyd.jpg/revision/latest?cb=20120616051328,15
Jaime Dugan,22,Columbia,SC,China,10,3,0,3,21,7,https://vignette.wikia.nocookie.net/survivor/images/2/24/S15_jaime_t.png/revision/latest?cb=20180527225220,Female,Student,https://vignette.wikia.nocookie.net/survivor/images/3/36/S15_Jaime_Dugan.jpg/revision/latest?cb=20120616051337,15
Jean-Robert Bellande,36,Las Vegas,NV,China,9,7,1,8,24,12,https://vignette.wikia.nocookie.net/survivor/images/2/2a/S15_jeanrobert_t.png/revision/latest?cb=20180527225221,Male,Poker Player,https://vignette.wikia.nocookie.net/survivor/images/f/ff/S15_Jean-Robert_Bellande.jpg/revision/latest?cb=20120616051346,15
Frosti Zernow,20,Chicago,IL,China,8,4,2,6,27,7,https://vignette.wikia.nocookie.net/survivor/images/3/35/S15_frosti_t.png/revision/latest?cb=20180527225220,Male,Student/Athlete,https://vignette.wikia.nocookie.net/survivor/images/c/c5/S15_Frosti_Zernow.jpg/revision/latest?cb=20120616051548,15
James Clement,30,Lafayette,LA,China,7,6,1,7,30,9,https://vignette.wikia.nocookie.net/survivor/images/a/aa/S15_james_t.png/revision/latest?cb=20180527225221,Male,Gravedigger,https://vignette.wikia.nocookie.net/survivor/images/7/7c/S20_James_Clement.jpg/revision/latest?cb=20120617040902,15
Erik Huffman,26,Nashville,TN,China,6,3,2,5,33,5,https://vignette.wikia.nocookie.net/survivor/images/c/ce/S15_erik_t.png/revision/latest?cb=20180527225219,Male,Musician,https://vignette.wikia.nocookie.net/survivor/images/5/5a/S15_Erik_Huffman.jpg/revision/latest?cb=20120616051629,15
Peih-Gee Law,29,Marina del Rey,CA,China,5,3,3,6,36,8,https://vignette.wikia.nocookie.net/survivor/images/4/48/S15_peihgee_t.png/revision/latest?cb=20180527225222,Female,Jeweler,https://vignette.wikia.nocookie.net/survivor/images/0/0b/S31_Peih-Gee_Law.jpg/revision/latest?cb=20150825194050,15
Denise Martin,40,Douglas,MA,China,4,7,2,9,38,3,https://vignette.wikia.nocookie.net/survivor/images/8/8c/S15_denise_t.png/revision/latest?cb=20180527225218,Female,School Lunch Lady,https://vignette.wikia.nocookie.net/survivor/images/4/4a/S15_Denise_Martin.jpg/revision/latest?cb=20120616051844,15
Amanda Kimmel,22,Los Angeles,CA,China,3,7,5,12,39,0,https://vignette.wikia.nocookie.net/survivor/images/c/cd/S15_amanda_t.png/revision/latest?cb=20180527225216,Female,"Hiking Guide;
Aspiring Designer",https://vignette.wikia.nocookie.net/survivor/images/a/a8/S20_Amanda_Kimmel.jpg/revision/latest?cb=20120617041237,15
Courtney Yates,26,New York City,NY,China,2,7,2,9,39,0,https://vignette.wikia.nocookie.net/survivor/images/b/b7/S15_courtney_t.png/revision/latest?cb=20180527225217,Female,Waitress,https://vignette.wikia.nocookie.net/survivor/images/0/0b/S20_Courtney_Yates.jpg/revision/latest?cb=20120617041017,15
Todd Herzog,22,Pleasant Grove,UT,China,1,7,1,8,39,5,https://vignette.wikia.nocookie.net/survivor/images/d/d7/S15_todd_t.png/revision/latest?cb=20180527225223,Male,Flight Attendant,https://vignette.wikia.nocookie.net/survivor/images/6/63/S15_Todd_Herzog.jpg/revision/latest?cb=20120616051947,15
Jon Dalton,33,Los Angeles,CA,Micronesia,20,0,0,0,3,9,https://vignette.wikia.nocookie.net/survivor/images/9/9b/S16_jon_t.png/revision/latest?cb=20180528122835,Male,Art Consultant,https://vignette.wikia.nocookie.net/survivor/images/b/bc/S16_Jon_Dalton.jpg/revision/latest?cb=20120616070503,16
Mary Sartain,29,Emeryville,CA,Micronesia,19,1,0,1,6,6,https://vignette.wikia.nocookie.net/survivor/images/9/9f/S16_mary_t.png/revision/latest?cb=20180528122837,Female,Real Estate Manager,https://vignette.wikia.nocookie.net/survivor/images/c/cd/S16_Mary_Sartain.jpg/revision/latest?cb=20120616070513,16
Yau-Man Chan,55,Martinez,CA,Micronesia,18,2,1,3,8,6,https://vignette.wikia.nocookie.net/survivor/images/c/c5/S16_yauman_t.png/revision/latest?cb=20180528122840,Male,Computer Engineer,https://vignette.wikia.nocookie.net/survivor/images/c/c6/S16_Yau-Man_Chan.jpg/revision/latest?cb=20120616070534,16
Mikey Bortone,34,Los Angeles,CA,Micronesia,17,2,0,2,11,6,https://vignette.wikia.nocookie.net/survivor/images/4/4c/S16_mikeyb_t.png/revision/latest?cb=20180528122837,Male,Aspiring Writer,https://vignette.wikia.nocookie.net/survivor/images/c/c7/S16_Mikey_Bortone.jpg/revision/latest?cb=20120616070614,16
