contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Mitchell Olson,23,Union City,NJ,The Australian Outback,13,3,NA,3,12,6,https://vignette.wikia.nocookie.net/survivor/images/b/b3/S2_mitchell_t.png/revision/latest?cb=20180525224825,Male,Singer/Songwriter,https://vignette.wikia.nocookie.net/survivor/images/d/d3/S2_Mitchell_Olson.jpg/revision/latest?cb=20120609052017,2
Kimmi Kappenberg,27,Ronkonkoma,NY,The Australian Outback,12,5,NA,5,15,6,https://vignette.wikia.nocookie.net/survivor/images/2/21/S2_kimmi_t.png/revision/latest?cb=20180525224824,Female,Bartender,https://vignette.wikia.nocookie.net/survivor/images/5/5d/S31_Kimmi_Kappenberg.jpg/revision/latest?cb=20150825193342,2
Michael Skupin,38,White Lake,MI,The Australian Outback,11,6,NA,6,17,0,https://vignette.wikia.nocookie.net/survivor/images/3/3d/S2_michael_t.png/revision/latest?cb=20180525224825,Male,Software Publisher; Part-Time Professional Speaker,https://vignette.wikia.nocookie.net/survivor/images/0/0c/S25_Michael_Skupin.jpg/revision/latest?cb=20120822163640,2
Jeff Varner,34,New York City,NY,The Australian Outback,10,6,0,6,21,11,https://vignette.wikia.nocookie.net/survivor/images/1/1c/S2_jeff_t.png/revision/latest?cb=20180525224821,Male,Internet Projects Manager,https://vignette.wikia.nocookie.net/survivor/images/6/6f/S34_Jeff_Cast_Photo1.jpg/revision/latest?cb=20170209012442,2
Alicia Calaway,32,New York City,NY,The Australian Outback,9,6,0,6,24,5,https://vignette.wikia.nocookie.net/survivor/images/7/75/S2_alicia_t.png/revision/latest?cb=20180525224818,Female,Personal Trainer,https://vignette.wikia.nocookie.net/survivor/images/4/41/S8_Alicia_Calaway.jpg/revision/latest?cb=20120611064356,2
Jerri Manthey,30,Los Angeles,CA,The Australian Outback,8,4,2,6,27,12,https://vignette.wikia.nocookie.net/survivor/images/2/22/S2_jerri_t.png/revision/latest?cb=20180525224822,Female,Aspiring Actress,https://vignette.wikia.nocookie.net/survivor/images/3/31/S20_Jerri_Manthey.jpg/revision/latest?cb=20120617041544,2
Nick Brown,23,Steilacoom,WA,The Australian Outback,7,6,1,7,30,4,https://vignette.wikia.nocookie.net/survivor/images/b/b3/S2_nick_t.png/revision/latest?cb=20180525224826,Male,Harvard Law Student,https://vignette.wikia.nocookie.net/survivor/images/b/ba/S2_Nick_Brown.jpg/revision/latest?cb=20120609052513,2
Amber Brkich,22,Beaver,PA,The Australian Outback,6,4,0,4,33,6,https://vignette.wikia.nocookie.net/survivor/images/0/07/S2_amber_t.png/revision/latest?cb=20180525224819,Female,Administrative Assistant,https://vignette.wikia.nocookie.net/survivor/images/0/02/S8_Amber_Brkich.jpg/revision/latest?cb=20120611065301,2
Rodger Bingham,53,Crittenden,KY,The Australian Outback,5,6,0,6,36,5,https://vignette.wikia.nocookie.net/survivor/images/7/72/S2_rodger_t.png/revision/latest?cb=20180525224826,Male,Teacher/Farmer,https://vignette.wikia.nocookie.net/survivor/images/8/8d/S2_Rodger_Bingham.jpg/revision/latest?cb=20120609052622,2
Elisabeth Filarski,23,Newton,MA,The Australian Outback,4,6,0,6,39,5,https://vignette.wikia.nocookie.net/survivor/images/5/5d/S2_elisabeth_t.png/revision/latest?cb=20180525224821,Female,Footwear Designer,https://vignette.wikia.nocookie.net/survivor/images/4/4f/S2_Elisabeth_Filarski.jpg/revision/latest?cb=20120609053348,2
Keith Famie,40,West Bloomfield,MI,The Australian Outback,3rd,4,2,6,41,10,https://vignette.wikia.nocookie.net/survivor/images/d/d8/S2_keith_t.png/revision/latest?cb=20180525224823,Male,Chef,https://vignette.wikia.nocookie.net/survivor/images/f/f2/S2_Keith_Famie.jpg/revision/latest?cb=20120609053426,2
Colby Donaldson,26,Dallas,TX,The Australian Outback,2,4,8,12,42,9,https://vignette.wikia.nocookie.net/survivor/images/d/d0/S2_colby_t.png/revision/latest?cb=20180525224820,Male,Auto Customizer,https://vignette.wikia.nocookie.net/survivor/images/f/fb/S20_Colby_Donaldson.jpg/revision/latest?cb=20120617041536,2
Tina Wesson,39,Knoxville,TN,The Australian Outback,1,4,1,5,42,0,https://vignette.wikia.nocookie.net/survivor/images/b/b9/S2_tina_t.png/revision/latest?cb=20180525224827,Female,Personal Nurse; Motivational Speaker,https://vignette.wikia.nocookie.net/survivor/images/4/40/S27_Tina_Wesson.jpg/revision/latest?cb=20130821171910,2
Diane Ogden,42,Lincoln,NE,Africa,16,0,NA,0,3,6,https://vignette.wikia.nocookie.net/survivor/images/7/7d/S3_diane_t.png/revision/latest?cb=20180526000048,Female,U.S. Mail Carrier,https://vignette.wikia.nocookie.net/survivor/images/8/80/S3_Diane_Ogden.jpg/revision/latest?cb=20120609054802,3
Jessie Camacho,27,Orlando,FL,Africa,15,0,NA,0,6,5,https://vignette.wikia.nocookie.net/survivor/images/9/9e/S3_jessie_t.png/revision/latest?cb=20180526000049,Female,Deputy Sheriff,https://vignette.wikia.nocookie.net/survivor/images/e/e7/S3_Jessie_Camacho.jpg/revision/latest?cb=20120609054839,3
Carl Bilancione,46,Winter Springs,FL,Africa,14,3,NA,3,9,7,https://vignette.wikia.nocookie.net/survivor/images/e/e0/S3_carl_t.png/revision/latest?cb=20180526000046,Male,Dentist,https://vignette.wikia.nocookie.net/survivor/images/2/25/S3_Carl_Bilancione.jpg/revision/latest?cb=20120609054910,3
