contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Rob Mariano,25,Canton,MA,Marquesas,10,2,0,2,21,8,Male,"Construction Worker
Aspiring poker player",4,NA,NA
John Carroll,36,Omaha,NE,Marquesas,9,7,0,7,24,8,Male,Registered Nurse,4,NA,NA
Zoe Zanidakis,35,Monhegan Island,ME,Marquesas,8,7,0,7,27,8,Female,Fishing Boat Captain,4,NA,NA
Tammy Leitner,29,Mesa,AZ,Marquesas,7,7,2,9,30,5,Female,Crime Reporter,4,NA,NA
Robert DeCanio,38,College Point,NY,Marquesas,6,7,1,8,33,6,Male,Limousine Driver,4,NA,NA
Sean Rector,30,Los Angeles,CA,Marquesas,5,2,2,4,36,7,Male,Teacher,4,NA,NA
Paschal English,56,Thomaston,GA,Marquesas,4,8,2,10,37,0,Male,Judge,4,NA,NA
Kathy Vavrick-O'Brien,47,Burlington,VT,Marquesas,3rd,8,4,12,38,5,Female,Real Estate Agent,4,NA,NA
Neleh Dennis,21,Layton,UT,Marquesas,2,8,1,9,39,4,Female,Student,4,NA,NA
Vecepia Towery,36,Hayward,CA,Marquesas,1,2,2,4,39,2,Female,Office Manager,4,NA,NA
John Raymond,40,Slidell,LA,Thailand,16,0,NA,0,3,6,Male,Pastor,5,NA,NA
Tanya Vance,27,Gray,TN,Thailand,15,0,NA,0,6,5,Female,Social Worker,5,NA,NA
Jed Hildebrand,25,Dallas,TX,Thailand,14,3,NA,3,9,5,Male,Dental Student,5,NA,NA
Ghandia Johnson,33,Denver,CO,Thailand,13,2,NA,2,12,5,Female,Legal Secretary,5,NA,NA
Stephanie Dill,29,Fayetteville,AR,Thailand,12,5,NA,5,15,5,Female,Firefighter,5,NA,NA
Robb Zbacnik,23,Scottsdale,AZ,Thailand,11,6,NA,6,18,5,Male,Bartender,5,NA,NA
Shii Ann Huang,28,New York City,NY,Thailand,10,6,NA,6,21,10,Female,Executive Recruiter,5,NA,NA
Erin Collins,26,Austin,TX,Thailand,9,6,NA,6,24,3,Female,Real Estate Agent,5,NA,NA
Ken Stafford,30,Brooklyn,NY,Thailand,8,6,0,6,27,6,Male,NYC Police Officer,5,NA,NA
Penny Ramsey,27,Plano,TX,Thailand,7,6,0,6,30,5,Female,Pharmaceutical Sales,5,NA,NA
Jake Billingsley,60,McKinney,TX,Thailand,6,6,0,6,33,7,Male,Land Broker,5,NA,NA
"Ted Rogers, Jr.",37,Durham,NC,Thailand,5,6,2,8,36,7,Male,Software Development Manager,5,NA,NA
Helen Glover,47,Middletown,RI,Thailand,4,6,2,8,37,5,Female,Navy Swim Instructor,5,NA,NA
Jan Gentry,53,Tampa,FL,Thailand,3rd,6,0,6,38,5,Female,Teacher,5,NA,NA
Clay Jordan,46,Monroe,LA,Thailand,2,6,1,7,39,3,Male,Restaurant Owner,5,NA,NA
Brian Heidik,34,Quartz Hill,CA,Thailand,1,6,5,11,39,0,Male,Used Car Salesman,5,NA,NA
Ryan Aiken,23,Ellicott City,MD,The Amazon,16,0,NA,0,3,4,Male,Model,6,NA,NA
Janet Koth,46,Manchester,MO,The Amazon,15,2,NA,2,6,5,Female,Homemaker,6,NA,NA
Daniel Lue,26,Houston,TX,The Amazon,14,1,NA,1,9,7,Male,Tax Accountant,6,NA,NA
JoAnna Ward,31,Orangeburg,SC,The Amazon,13,4,NA,4,12,4,Female,Guidance Counselor,6,NA,NA
Jeanne Hebert,40,North Attleboro,MA,The Amazon,12,4,NA,4,15,5,Female,Marketing Director,6,NA,NA
Shawna Mitchell,23,Los Angeles,CA,The Amazon,11,5,NA,5,18,6,Female,Retail Saleswoman,6,NA,NA
